criterion,angel,nz_seed_vc,agritech_series_a,ai_growth_vc,strategic,grant_funder,cat_readiness_0_to_5,gap_note
founder_market_fit,critical,critical,important,important,important,important,3,public_founder_narrative
team_completeness,important,critical,critical,critical,important,important,2,name_gtm_and_domain_advisors
tam_venture_scale,important,critical,critical,critical,important,nice,2,bottom_up_som_pack
bottom_up_sam_som,important,critical,critical,important,important,nice,2,pricing_and_segment_math
technical_moat,important,critical,important,important,important,critical_rd,4,keep_shipping
product_demo_shipping,critical,critical,critical,critical,critical,important,4,field_video_pilots
paying_customers_arr,nice,important,critical,critical,critical,nice,1,paid_pilots
field_proof_pilots,important,critical,critical,nice,critical,important,2,two_to_three_deployments
unit_economics_path,nice,important,critical,critical,important,nice,1,hw_saas_margin_model
gtm_distribution,important,critical,critical,critical,critical,nice,2,portal_playbooks
data_sovereignty_trust,nice,important,important,nice,important,critical,5,core_asset_keep_honest
regulatory_readiness,nice,important,important,nice,critical,critical,4,compliance_pack
export_multi_geo,important,critical,critical,important,important,important_exports,2,au_beachhead_memo
governance_board,nice,important,critical,critical,critical,important,2,cap_table_hygiene
esg_maori_outcomes,nice,nice,nice,na,nice,critical_mdf,3,partnership_required
capital_efficiency,important,critical,important,nice,important,critical,3,grant_first_path
exit_narrative,important,critical,critical,critical,strategic_fit,na,2,define_paths
