id,name,funder,status,opens,closes,amount_indicative,currency,fit_score,themes,region,next_action,owner,brief_path,last_verified,url
CAT-G-001,New to R&D Grant,MBIE Innovation Services,open,rolling,rolling,400000 max co-fund (40%),NZD,92,"deeptech;sovereign-ai;edge;r&d",NZ,Contact Innovation Services navigator,grant_lead,opportunities/new-to-rd-grant.md,2026-07-13,https://www.business.govt.nz/tax-and-money/innovation-funding/new-to-r-and-d-grant
CAT-G-002,Māori Development Fund,Te Puni Kōkiri,open,rolling,rolling,proposal-based (fund 40.21m p.a.),NZD,78,"maori;whenua;exports;resilience;productivity",NZ,Contact TPK regional office first,grant_lead+cultural,opportunities/maori-development-fund.md,2026-07-13,https://www.tpk.govt.nz/nga-putea-me-nga-ratonga/maori-development-fund
CAT-G-003,Primary Sector Growth Fund,MPI,open,2025-05-23,2029-06-30,co-investment multi-scale,NZD,88,"agritech;biosecurity;water;soil;primary",NZ,Draft EOI SoilGuard+AquaGuard pilot,grant_lead,opportunities/primary-sector-growth-fund.md,2026-07-13,https://www.mpi.govt.nz/funding-rural-support/primary-sector-growth-fund
CAT-G-004,R&D Tax Incentive,IR/MBIE,open,ongoing,ongoing,15% tax credit,NZD,85,"deeptech;r&d;tax",NZ,Map eligible costs; RDTI intro session,finance,opportunities/rdti.md,2026-07-13,https://www.rdti.govt.nz/
CAT-G-005,R&D Experience Grant,MBIE Innovation Services,opens_soon,2026-07-13,TBD,student 10-week support,NZD,80,"capacity;deeptech;internship",NZ,Prep project brief before open,grant_lead,opportunities/rd-experience-grant.md,2026-07-13,https://www.business.govt.nz/tax-and-money/innovation-funding
CAT-G-006,R&D Career Grant,MBIE Innovation Services,opens_soon,2026-08-31,TBD,30000 masters / 35000 PhD,NZD,82,"capacity;ai;research;graduate",NZ,Define grad role Aether/vision,grant_lead,opportunities/rd-career-grant.md,2026-07-13,https://www.business.govt.nz/tax-and-money/innovation-funding
CAT-G-007,NZIAT AI Research Platform,MBIE/NZIAT,watch,2026-07-01,2033-approx,70000000 over 7 years platform,NZD,70,"ai;maori-data;research;commercialisation",NZ,Partner approach to shortlisted concepts,grant_lead,opportunities/nziat-ai-platform.md,2026-07-13,https://www.mbie.govt.nz/science-and-technology/science-and-innovation/refocusing-the-science-innovation-and-technology-system/public-research-organisations/new-zealand-institute-for-advanced-technology/call-for-proposals-for-the-artificial-intelligence-research-platform
CAT-G-008,Māori Agribusiness whenua multi-fund,MPI MABx + Tupu.nz,researching,varies,varies,varies,NZD,75,"maori;agritech;whenua;extension",NZ,Search tupu.nz Taranaki; MABx cluster,cultural,opportunities/maori-agribusiness.md,2026-07-13,https://www.tupu.nz/en/kokiri/search-for-funding-opportunities/
CAT-G-009,Māori Climate Platform,MfE,watch,stage2,TBD,stage2 ~7.25m programme,NZD,55,"maori;climate;marae;resilience",NZ,Watch Stage 3 if edge energy/water fits,cultural,opportunities/maori-climate-platform.md,2026-07-13,https://environment.govt.nz/
CAT-G-010,Callaghan transition services,Callaghan/MBIE,watch,2026,2026,N/A,NZD,40,"transition",NZ,Use MBIE portals not Callaghan-only paths,grant_lead,opportunities/callaghan-transition.md,2026-07-13,https://www.callaghaninnovation.govt.nz/about-us/disestablishment-updates/
